Ranking,PlayerName,Games,Total Scoring,Average,IQR
115.0,Hunter Renfrow,45,416.5,9.0,9.4
115.0,Breshad Perriman,27,237.6,9.0,9.6
115.0,Adrian Peterson,35,324.1,9.0,9.6
115.0,Rex Burkhead,34,291.6,9.0,9.6
115.0,AJ Dillon,25,223.6,9.0,9.6
115.0,Michael Pittman Jr.,29,265.9,9.0,10.0
115.0,JuJu Smith-Schuster,33,302.4,9.0,10.6
115.0,DeVonta Smith,16,150.0,9.0,12.3
115.0,Travis Fulgham,11,99.9,9.0,12.3
115.0,Rashaad Penny,21,195.6,9.0,12.5
141.5,Jakobi Meyers,38,286.5,8.0,4.0
141.5,Tarik Cohen,19,146.7,8.0,4.0
141.5,Sammy Watkins,31,235.6,8.0,5.2
141.5,Rashod Bateman,10,80.3,8.0,5.4
141.5,Gus Edwards,32,245.5,8.0,5.6
141.5,Taylor Gabriel,9,76.1,8.0,6.1
141.5,Larry Fitzgerald,29,217.8,8.0,6.5
141.5,Phillip Lindsay,40,333.0,8.0,6.5
141.5,John Ross,16,123.6,8.0,6.7
141.5,Randall Cobb,35,290.5,8.0,6.7
141.5,Tony Pollard,44,362.3,8.0,6.7
141.5,Kerryon Johnson,21,157.8,8.0,7.2
141.5,Carlos Hyde,36,305.7,8.0,7.7
141.5,Duke Johnson Jr.,31,258.4,8.0,8.0
141.5,A.J. Green,26,219.3,8.0,8.1
141.5,Zack Moss,25,204.2,8.0,8.1
141.5,Tim Patrick,35,291.9,8.0,8.3
141.5,Russell Gage,39,321.3,8.0,8.8
141.5,Boston Scott,33,278.9,8.0,8.8
141.5,Donovan Peoples-Jones,18,137.8,8.0,9.0
141.5,J.D. McKissic,42,339.7,8.0,9.0
141.5,Allen Lazard,34,273.7,8.0,9.4
141.5,Darrel Williams,38,292.8,8.0,9.4
141.5,Wayne Gallman Jr.,27,203.2,8.0,11.0
141.5,K.J. Osborn,15,125.0,8.0,11.3
141.5,Marquez Valdes-Scantling,33,273.5,8.0,13.3
169.5,Mike Boone,12,78.5,7.0,4.5
169.5,Danny Amendola,34,225.3,7.0,4.6
169.5,DeAndre Washington,20,132.4,7.0,4.8
169.5,Kadarius Toney,9,65.4,7.0,4.9
169.5,Laviska Shenault Jr.,29,215.8,7.0,5.4
169.5,Preston Williams,20,148.5,7.0,5.8
169.5,Frank Gore,30,216.9,7.0,5.8
169.5,Cedrick Wilson Jr.,22,145.2,7.0,6.1
169.5,Rashard Higgins,25,164.4,7.0,6.1
169.5,Chris Conley,40,260.8,7.0,6.2
169.5,Tevin Coleman,30,208.4,7.0,6.2
169.5,James Washington,36,250.7,7.0,6.3
169.5,Kendrick Bourne,45,326.4,7.0,6.3
169.5,Nyheim Hines,48,347.0,7.0,6.4
169.5,Henry Ruggs III,20,146.8,7.0,6.6
169.5,Zach Pascal,43,306.4,7.0,6.6
169.5,DeSean Jackson,20,143.2,7.0,6.7
169.5,Greg Ward,26,180.5,7.0,6.8
169.5,Tre'Quan Smith,30,204.2,7.0,6.9
169.5,Marquez Callaway,22,163.6,7.0,7.0
169.5,Van Jefferson,25,176.8,7.0,7.0
169.5,Alex Collins,14,98.5,7.0,7.0
169.5,Phillip Dorsett II,14,101.2,7.0,7.2
169.5,Kenneth Gainwell,14,91.8,7.0,7.2
169.5,Alexander Mattison,41,288.6,7.0,7.5
169.5,Matt Breida,29,191.3,7.0,7.9
169.5,Dontrell Hilliard,14,102.4,7.0,9.0
169.5,Jerick McKinnon,20,135.4,7.0,9.7
169.5,Cordarrelle Patterson,42,312.9,7.0,9.8
169.5,Cordarrelle Patterson,42,312.9,7.0,9.8
198.5,Samaje Perine,26,143.8,6.0,4.1
198.5,Salvon Ahmed,17,110.0,6.0,4.3
198.5,Chris Thompson,17,109.6,6.0,4.4
198.5,Byron Pringle,26,156.2,6.0,4.7
198.5,Brandon Bolden,23,133.6,6.0,4.8
198.5,Demaryius Thomas,11,67.3,6.0,5.0
198.5,Josh Reynolds,34,212.8,6.0,5.0
198.5,Brian Hill,26,160.9,6.0,5.3
198.5,Rondale Moore,14,84.9,6.0,5.6
198.5,Giovani Bernard,42,250.1,6.0,5.6
198.5,Ty Johnson,38,220.3,6.0,5.6
198.5,DeeJay Dallas,18,104.5,6.0,5.6
198.5,Kalif Raymond,23,141.4,6.0,5.8
198.5,Marcus Johnson,18,110.2,6.0,5.8
198.5,Richie James Jr.,12,73.5,6.0,5.8
198.5,Malcolm Brown,33,195.0,6.0,5.9
198.5,Keke Coutee,17,106.5,6.0,6.0
198.5,Peyton Barber,39,235.7,6.0,6.0
198.5,Keelan Cole Sr.,39,243.8,6.0,6.1
198.5,Devontae Booker,36,230.5,6.0,6.4
198.5,Justin Jackson,27,167.0,6.0,6.6
198.5,Quintez Cephus,16,96.8,6.0,6.8
198.5,Anthony Miller,32,199.5,6.0,6.9
198.5,Mecole Hardman,45,285.7,6.0,7.6
198.5,Kenny Stills,23,145.0,6.0,8.0
198.5,Scotty Miller,21,128.5,6.0,8.1
198.5,LeSean McCoy,21,132.4,6.0,8.1
198.5,Khalil Herbert,13,83.7,6.0,8.4
216.5,La'Mical Perine,11,57.3,5.0,2.8
216.5,Alfred Morris,10,45.2,5.0,3.2
216.5,Ito Smith,19,88.1,5.0,4.4
216.5,Jordan Wilkins,23,117.3,5.0,4.8
216.5,Jaylen Samuels,22,103.2,5.0,4.8
216.5,Royce Freeman,38,203.7,5.0,5.1
216.5,D'Ernest Johnson,22,120.7,5.0,5.1
216.5,Kalen Ballage,29,147.2,5.0,5.8
228.5,Reggie Bonnafon,11,47.5,4.0,2.7
228.5,Darwin Thompson,15,61.7,4.0,3.1
228.5,Jalen Richard,35,126.7,4.0,3.3
228.5,Dare Ogunbowale,30,124.8,4.0,3.3
228.5,Jaret Patterson,13,52.6,4.0,3.6
228.5,Patrick Laird,20,80.9,4.0,3.7
228.5,Jeremy McNichols,27,106.3,4.0,3.8
228.5,Joshua Kelley,21,92.6,4.0,3.8
228.5,Ryquell Armstead,13,52.2,4.0,3.9
228.5,JaMycal Hasty,15,65.5,4.0,4.0
228.5,Travis Homer,24,101.7,4.0,4.6
228.5,Kyle Juszczyk,39,174.3,4.0,4.8
